"Biomass_SmallSize_Herbivores_Mean","Biomass_SmallSize_Herbivores_Min","Biomass_SmallSize_Herbivores_Max","Biomass_MediumSize_Herbivores_Mean","Biomass_MediumSize_Herbivores_Min","Biomass_MediumSize_Herbivores_Max","Biomass_MediumLarge_Herbivores_Mean","Biomass_MediumLarge_Herbivores_Min","Biomass_MediumLarge_Herbivores_Max","Biomass_Large_Herbivores_Mean","Biomass_Large_Herbivores_Min","Biomass_Large_Herbivores_Max","Phase","SI","Region","MacroRegion"
24.0778099233073,19.203220089661,30.1897769226239,122.911945158199,98.0282318881693,154.11219779835,139.656199723159,111.382586236527,175.106852696861,283.751431612617,226.305515716316,355.779551759308,"GS-12","Stadial","MesoMediterranean","Mediterranean"
32.2064379032448,25.0784058398728,41.3604696023543,164.406810333388,128.019768121091,211.136136869363,186.80389697043,145.459859757488,239.899144557938,379.545435872155,295.543223502974,487.423586248915,"GI-11","Interstadial","MesoMediterranean","Mediterranean"
29.7230687673189,23.3267446352729,37.8733008295924,151.729754902902,119.077921391621,193.334904185812,172.399850375749,135.299868137979,219.672855699092,350.279503888057,274.900300575653,446.328107270647,"GS-11","Stadial","MesoMediterranean","Mediterranean"
31.299287673117,24.4425044734338,40.0795839030855,159.77600712949,124.773630946376,204.597495966228,181.542240942694,141.771502364581,232.469746717794,368.854879824642,288.049272696559,472.328643973961,"GI-10","Interstadial","MesoMediterranean","Mediterranean"
28.1438916314271,22.1942437790079,35.688471481542,143.668401559717,113.296752606742,182.181828974115,163.240301471973,128.731132597954,207.000400655871,331.669265892721,261.554039421035,420.58039776911,"GS-10","Stadial","MesoMediterranean","Mediterranean"
31.8344336363325,24.8181706483682,40.8342411414876,162.507810042291,126.691324475746,208.449855852578,184.646196483415,143.950442663677,236.846912346417,375.161451463332,292.476411846074,481.222105316811,"GI-9","Interstadial","MesoMediterranean","Mediterranean"
28.9839387366857,22.7985674425884,36.8474338051029,147.956658010812,116.381692525796,188.098077752873,168.112745713477,132.236332885159,213.722618093685,341.569027104326,268.675854288938,434.238501207211,"GS-9","Stadial","MesoMediterranean","Mediterranean"
35.5201815152486,27.7555451337424,45.4569812553377,181.322745561894,141.685977760467,232.047931473407,206.02428458805,160.98781271925,263.659746182403,314.069368881183,245.414470626099,401.930530900547,"GI-8","Interstadial","MesoMediterranean","Mediterranean"
34.4637766767127,27.0085660983604,43.9768589897273,175.930030277881,137.872813418542,224.492231543987,199.896921443769,156.655182231402,255.074735693526,304.728639561442,238.809683595121,388.843292998126,"GS-8","Stadial","MesoMediterranean","Mediterranean"
35.2552243748628,27.5687118449293,45.0848357628479,179.970197401903,140.732234748894,230.148210256674,204.487479229354,159.904141605452,261.501226558286,311.726618413373,243.76249108657,398.640021253008,"GI-7","Interstadial","MesoMediterranean","Mediterranean"
