"Biomass","Phase","Region","Size"
106.699418084609,"GS-11","SubMediterranean","Medium-Large"
144.506695617811,"GI-10","SubMediterranean","Medium-Large"
92.9220832169647,"GS-10","SubMediterranean","Medium-Large"
123.384499787812,"GI-9","SubMediterranean","Medium-Large"
85.7201392935415,"GS-9","SubMediterranean","Medium-Large"
138.063088295559,"GI-8","SubMediterranean","Medium-Large"
98.8784604270512,"GS-8","SubMediterranean","Medium-Large"
133.512489798027,"GI-7","SubMediterranean","Medium-Large"
65.7247934163901,"GS-7","SubMediterranean","Medium-Large"
125.452853853717,"GI-6","SubMediterranean","Medium-Large"
67.5884727045182,"GS-6","SubMediterranean","Medium-Large"
154.637262493763,"GI-5","SubMediterranean","Medium-Large"
121.734577258993,"GS-5","SubMediterranean","Medium-Large"
427.461236343184,"GI-13","Eurosiberian","Large"
395.386257458646,"GS-13","Eurosiberian","Large"
386.990656122313,"GI-12","Eurosiberian","Large"
217.003734358938,"GS-12","Eurosiberian","Large"
484.184041162598,"GI-11","Eurosiberian","Large"
405.456595960928,"GS-11","Eurosiberian","Large"
483.424656175374,"GI-10","Eurosiberian","Large"
375.465298111699,"GS-10","Eurosiberian","Large"
451.655751201351,"GI-9","Eurosiberian","Large"
347.939218471836,"GS-9","Eurosiberian","Large"
488.022627549602,"GI-8","Eurosiberian","Large"
400.511179917098,"GS-8","Eurosiberian","Large"
453.890371247915,"GI-7","Eurosiberian","Large"
214.532255505669,"GS-7","Eurosiberian","Large"
347.709682699691,"GI-6","Eurosiberian","Large"
124.039131466477,"GS-6","Eurosiberian","Large"
371.481248793484,"GI-5","Eurosiberian","Large"
275.874924893066,"GS-5","Eurosiberian","Large"
125.15502792726,"GI-13","ThermoMediterranean","Large"
115.238194853597,"GS-13","ThermoMediterranean","Large"
100.423361465105,"GI-12","ThermoMediterranean","Large"
97.5552493625877,"GS-12","ThermoMediterranean","Large"
126.948087397035,"GI-11","ThermoMediterranean","Large"
128.040288680208,"GS-11","ThermoMediterranean","Large"
121.590948423412,"GI-10","ThermoMediterranean","Large"
121.84454527815,"GS-10","ThermoMediterranean","Large"
118.370913043271,"GI-9","ThermoMediterranean","Large"
123.305660054892,"GS-9","ThermoMediterranean","Large"
116.738894430773,"GI-8","ThermoMediterranean","Large"
118.937352790741,"GS-8","ThermoMediterranean","Large"
118.182272090914,"GI-7","ThermoMediterranean","Large"
110.52293834621,"GS-7","ThermoMediterranean","Large"
113.183849649946,"GI-6","ThermoMediterranean","Large"
106.23030783208,"GS-6","ThermoMediterranean","Large"
129.522230887109,"GI-5","ThermoMediterranean","Large"
114.863890553951,"GS-5","ThermoMediterranean","Large"
354.897516317887,"GI-13","MesoMediterranean","Large"
